Body,Post Code,Service Area Categorisation,Expenses Type,Date,Transaction Number,Department, Amount ,Supplier Name,Supplier Number
Tewkesbury Borough Council,23UG,Homelessness - Administration,Emergency Accommodation,02/01/2026,CRED183767,Housing,£700.00,Caring for Communities and People,00252481
Tewkesbury Borough Council,23UG,Human resources,Computer  - Annual Renewals,02/01/2026,CRED183763,People and Culture,£735.00,ITS Software Systems Limited (Eploy),00255684
Tewkesbury Borough Council,23UG,Legal Services,Agency Staff,02/01/2026,CRED183765,One Legal,"£1,540.69",Vivid Resourcing - division G2V Recruitment,00255848
Tewkesbury Borough Council,23UG,Legal Services,Agency Staff,02/01/2026,CRED183766,One Legal,£930.00,Vivid Resourcing - division G2V Recruitment,00255848
Tewkesbury Borough Council,23UG,Car Parking,Agency  Contracted Services,05/01/2026,CRED183768,Finance,£572.00,Jade Security Services Limited,00255580
Tewkesbury Borough Council,23UG,Homelessness - Administration,Emergency Accommodation,05/01/2026,CRED183772,Housing,"£1,651.17",OE-Management LTD,00257011
Tewkesbury Borough Council,23UG,Homelessness - Administration,Emergency Accommodation,05/01/2026,CRED183773,Housing,"£1,804.81",OE-Management LTD,00257011
Tewkesbury Borough Council,23UG,Homelessness - Administration,Emergency Accommodation,05/01/2026,CRED183774,Housing,£589.32,OE-Management LTD,00257011
Tewkesbury Borough Council,23UG,Environmental Health,Agency Staff,05/01/2026,CRED183771,Environmental Health,£875.00,Osborne Richardson,00161554
Tewkesbury Borough Council,23UG,Revenues & Benefits,Printing,06/01/2026,CRED183777,Revenues and Benefits Team,"£2,912.44",PSL Print Management Ltd,00256304
Tewkesbury Borough Council,23UG,Development Control,Printing,06/01/2026,CRED183778,Director: Growth,"£1,442.61",PSL Print Management Ltd,00256304
Tewkesbury Borough Council,23UG,Digital Transformation Team,Broadband,06/01/2026,CRED183776,"IT, Digital and Cyber",£806.37,Vodafone Limited,00251906
Tewkesbury Borough Council,23UG,Development Control,Agency  Contracted Services,07/01/2026,CRED183788,Director: Growth,"£3,500.00",Calm Engineering,00256664
Tewkesbury Borough Council,23UG,Earmarked Reserve - Plan Obs Comm Sums,Payments Made,07/01/2026,CRED183783,Community and Economic Development,"£1,498.70",Global Radio Services Limited,00214168
Tewkesbury Borough Council,23UG,Crime & Disorder Act Expenditure,`Payts To Other Local Auths,07/01/2026,CRED183787,Environmental Health,"£1,561.00",Gloucestershire County Council,00000204
Tewkesbury Borough Council,23UG,Bulky Waste Service,Recycling activity (non ubico),07/01/2026,CRED183790,Waste and Recycling,"£5,023.00",Orchard Recycling Service Ltd,00255781
Tewkesbury Borough Council,23UG,"Vaughan Pak, Tipton",Programmed Maintenance,07/01/2026,CRED183796,Asset Management,£576.00,Payters Facilities Management Limited,00256418
Tewkesbury Borough Council,23UG,Insurances Holding Account,Insurances - miscellaneous,08/01/2026,CRED183799,Finance,"£8,919.68",Marsh UK Ltd,00137290
Tewkesbury Borough Council,23UG,Insurances Holding Account,Insurances - miscellaneous,08/01/2026,CRED183800,Finance,"£5,389.44",Marsh UK Ltd,00137290
Tewkesbury Borough Council,23UG,Insurances Holding Account,Insurances - miscellaneous,08/01/2026,CRED183801,Finance,"£6,594.32",Marsh UK Ltd,00137290
Tewkesbury Borough Council,23UG,Insurances Holding Account,Insurances - miscellaneous,08/01/2026,CRED183802,Finance,"£14,560.00",Marsh UK Ltd,00137290
Tewkesbury Borough Council,23UG,Insurances Holding Account,Insurances - miscellaneous,08/01/2026,CRED183803,Finance,£997.92,Marsh UK Ltd,00137290
