Transaction number,Supplier,Amount,Service Area,Category,Transaction Date,Period,Sme,Costs split between Babergh and Mid Suffolk District Council,% transactions apportioned to Babergh District Council
21016612,East Anglia Cleaning Services Ltd,540.80,Public Conveniences,Contract Cleaning,27/02/2025,202501,SML,N,
21016692,T H Moss And Sons Ltd,"2,645.37",Trades Team,"Property Repairs, Maintenance & Alterations",28/02/2025,202501,SML,N,
21017176,Surefix,"1,340.00",Voids,"Property Repairs, Maintenance & Alterations",04/03/2025,202501,SML,N,
21017494,EDF Energy,960.89,Creeting Road Depot,Electricity,15/03/2025,202501,LRG,Y,50%
21017494,EDF Energy,"2,555.35",Electric Vehicle (EV) Charge Points,Electricity,15/03/2025,202501,LRG,N,
21017494,EDF Energy,304.29,Headquarters General,Electricity,15/03/2025,202501,LRG,N,
21017494,EDF Energy,"30,746.16",Leisure Contract,Electricity,15/03/2025,202501,LRG,N,
21017494,EDF Energy,31.90,Open Spaces,Electricity,15/03/2025,202501,LRG,N,
21017494,EDF Energy,"1,739.03",Other HRA Temp Accommodation,Electricity,15/03/2025,202501,LRG,N,
21017494,EDF Energy,216.06,Other Temporary Accommodation,Electricity,15/03/2025,202501,LRG,N,
21017494,EDF Energy,307.95,Public Conveniences,Electricity,15/03/2025,202501,LRG,N,
21017494,EDF Energy,214.08,Pure Gym and Adjacent Building,Electricity,15/03/2025,202501,LRG,N,
21017494,EDF Energy,30.80,Recycling Centre,Electricity,15/03/2025,202501,LRG,N,
21017494,EDF Energy,564.58,Sewage Treatment Works,Electricity,15/03/2025,202501,LRG,N,
21017494,EDF Energy,"19,926.22",Sheltered Accommodation,Electricity,15/03/2025,202501,LRG,N,
21017494,EDF Energy,224.28,Tacon Close Eye Touch Down Point (TDP),Electricity,15/03/2025,202501,LRG,Y,50%
21017494,EDF Energy,963.68,Temporary Accommodation,Electricity,15/03/2025,202501,LRG,N,
21017494,EDF Energy,"1,467.28",Tenancy Services,Electricity,15/03/2025,202501,LRG,N,
21017494,EDF Energy,"4,085.88",Wingfield Barns,Electricity,15/03/2025,202501,LRG,N,
21017683,Armstrong York Asbestos Environmental,"3,060.00",Building Services Compliance,Asbestos Survey & Reinspection,28/02/2025,202501,SML,N,
21017802,Tradition (UK) Ltd,"4,575.34",Treasury Management,Contracted Services,21/03/2025,202501,LRG,N,
21017811,AVC Wise LTD,705.71,HR,Other Supplies & Services,23/03/2025,202501,SML,Y,50%
21018012,Bevan Brittan LLP,"1,707.00",Tenancy Services,Legal Expenses,26/03/2025,202501,LRG,N,
21018015,Bevan Brittan LLP,"2,476.50",Tenancy Services,Legal Expenses,24/01/2025,202501,LRG,N,
21018100,The Play Inspection Company Ltd,"3,985.50",Open Spaces,Contracted Services,27/03/2025,202501,SML,N,
21018134,Northumbrian Water Ltd,"2,150.99",Food and Safety (General),Sampling & Analysis,26/03/2025,202501,LRG,N,
21018183,East Suffolk Council,"15,000.00",Community Wellbeing,"Grants, Contributions & Donations",27/03/2025,202501,LRG,N,
21018199,Renovo Employment Group Ltd,795.00,HRA General Management,Training/Workshops - Non Staff,31/03/2025,202501,SML,Y,50%
21018208,MB Trees (East Anglia) Ltd,"1,760.00",Asset Utilisation,"Property Repairs, Maintenance & Alterations",31/03/2025,202501,SML,N,
21018213,MB Trees (East Anglia) Ltd,880.00,Public Tree Programme,Tree felling/maintenance,31/03/2025,202501,SML,N,
21018226,Suffolk County Council,"9,508.10",Garden Waste,Waste disposal costs,28/03/2025,202501,LRG,N,
21018226,Suffolk County Council,"24,293.47",Domestic Waste,Waste disposal costs,28/03/2025,202501,LRG,N,
21018229,APTL Enterprises Ltd,"6,615.00",PV Panels,"Property Repairs, Maintenance & Alterations",31/03/2025,202501,SML,N,
21018240,Boston Seeds Ltd,"1,250.00",Open Spaces,Other Capital Expenditure,28/03/2025,202501,SML,N,
21018243,LABC,"1,650.00",Organisational Devt,Training/Workshops - Non Staff,27/03/2025,202501,SML,Y,45%
21018247,Workwear (East Anglia) Ltd,647.52,Open Spaces,Clothing & Uniforms,30/03/2025,202501,SML,N,
21018250,T H Moss And Sons Ltd,"1,286.73",Trades Team,"Property Repairs, Maintenance & Alterations",31/03/2025,202501,SML,N,
21018251,T H Moss And Sons Ltd,"2,910.38",Trades Team,"Property Repairs, Maintenance & Alterations",31/03/2025,202501,SML,N,
21018252,T H Moss And Sons Ltd,"5,811.05",Trades Team,"Property Repairs, Maintenance & Alterations",31/03/2025,202501,SML,N,
21018259,Whitespace Work Software Ltd,"27,904.99",Joint Waste Contract,Subscriptions (non staff),01/04/2025,202501,SML,Y,48%
21018260,Benicia Properties Ltd,695.00,Guaranteed Rent Scheme,Building Rents,02/04/2025,202501,SML,N,
21018277,Private Landlord,795.00,Guaranteed Rent Scheme,Building Rents,02/04/2025,202501,STR,N,
21018279,Private Landlord,690.00,Guaranteed Rent Scheme,Building Rents,02/04/2025,202501,STR,N,
21018281,Paul Wright & Co,850.00,Guaranteed Rent Scheme,Building Rents,02/04/2025,202501,SML,N,
21018283,Paul Wright & Co,749.00,Guaranteed Rent Scheme,Building Rents,02/04/2025,202501,SML,N,
21018285,Paul Wright & Co,795.00,Guaranteed Rent Scheme,Building Rents,02/04/2025,202501,SML,N,
21018289,East Suffolk Water Management Board,"48,016.00",Environmental Protection,Other Supplies & Services,03/02/2025,202501,SML,N,
21018300,Allstar Business Solutions Ltd,"7,408.98",Trades Team,Vehicles & Plant Repairs,31/03/2025,202501,SML,Y,52%
21018305,Gasway Services Ltd,918.02,Sheltered Accommodation,"Property Repairs, Maintenance & Alterations",31/03/2025,202501,SML,N,
21018313,Birketts LLP,"12,985.50",HR,Other Supplies & Services,14/03/2025,202501,LRG,Y,50%
21018329,Huws Gray Ltd,678.00,Trades Team,"Purchase of Equipment, Tools & Materials",31/03/2025,202501,LRG,Y,52%
21018353,Everyone Active Stowmarket,"3,142.50",Ipswich and East Suffolk Alliance (Strength and Balance),"Grants, Contributions & Donations",31/03/2025,202501,SML,N,
21018354,Huws Gray Ltd,"68,420.42",Trades Team,"Purchase of Equipment, Tools & Materials",01/03/2025,202501,LRG,Y,52%
21018362,Ipserv Ltd,984.12,Central Printing,Printing,31/03/2025,202501,SML,N,
21018362,Ipserv Ltd,"1,698.97",Communications,Printing,31/03/2025,202501,SML,N,
21018368,Studley Capital Ltd,"2,612.50",MSM Feasibility and Match Funding,Consultancy Services,01/04/2025,202501,STR,N,
21018372,Kinto UK Ltd,"7,875.93",Trades Team,Contract Hire Scheme Lease Car Payments,30/12/2024,202501,LRG,Y,52%
21018373,Seager Home Solutions,"18,050.78",Building Services Assets,Payments to Contractors,31/03/2025,202501,SML,N,
21018374,Seager Home Solutions,"7,126.53",Building Services Assets,Payments to Contractors,31/03/2025,202501,SML,N,
21018378,Mixbrow Ltd,"1,083.00",Building Services Assets,Payments to Contractors,21/03/2025,202501,SML,N,
21018381,FAB HR Ltd,630.00,Senior Leadership Team,Consultancy Services,31/03/2025,202501,STR,Y,50%
21018382,M & H Civil Engineering Ltd,650.00,Trades Team,"Property Repairs, Maintenance & Alterations",28/03/2025,202501,SML,N,
21018384,Wilks Head And Eve LLP,"2,750.00",External Audit,Valuation Fees,01/04/2025,202501,SML,N,
21018384,Wilks Head And Eve LLP,"9,200.00",HRA Accountancy,Valuation Fees,01/04/2025,202501,SML,N,
21018391,Anglian Water,"4,806.79",Sheltered Accommodation,Water Services,24/03/2025,202501,LRG,N,
21018395,Suffolk County Council,"4,557.00",Stowmarket Customer Access Point (CAP),Operating Leases,01/04/2025,202501,LRG,N,
21018395,Suffolk County Council,"3,307.00",Stowmarket Customer Access Point (CAP),Contracted Services,01/04/2025,202501,LRG,N,
21018402,Suffolk County Council,"20,500.00",Endeavour House - HQ,Operating Leases,01/04/2025,202501,LRG,Y,50%
21018402,Suffolk County Council,"26,875.00",Endeavour House - HQ,Contracted Services,01/04/2025,202501,LRG,Y,50%
21018406,Public Sewer Services,975.00,Trades Team,"Property Repairs, Maintenance & Alterations",24/03/2025,202501,SML,N,
21018408,Public Sewer Services,900.00,Trades Team,"Property Repairs, Maintenance & Alterations",24/03/2025,202501,SML,N,
21018409,Public Sewer Services,600.00,Trades Team,"Property Repairs, Maintenance & Alterations",27/03/2025,202501,SML,N,
21018419,Local Government Association,"10,281.77",Governance,Subscriptions (non staff),01/04/2025,202501,LRG,N,
21018430,Clarke Fencing Ltd,"12,844.16",Building Services Assets,Payments to Contractors,01/04/2025,202501,SML,N,
21018433,Richard Utting Associates LLP,"2,470.00",New Build Programme,External Consultants,31/03/2025,202501,SML,N,
21018440,Civica UK Ltd,"2,029.86",Governance,IT Software Purchase,31/03/2025,202501,LRG,Y,50%
21018447,Hurley Porte & Duell Ltd,750.00,Building Services Assets,Other Capital Expenditure,01/04/2025,202501,SML,N,
21018449,Chipside Ltd,"1,256.25",Car Parks,Contracted Services,31/03/2025,202501,SML,N,
21018465,Oracle Managed Services,"4,050.00",Building Services Compliance,Health and Safety Buildings,31/03/2025,202501,SML,N,
21018466,Oracle Managed Services,"3,250.00",Building Services Compliance,Health and Safety Buildings,31/03/2025,202501,SML,N,
21018467,Oracle Managed Services,"1,290.00",Tenancy Services,Health and Safety Buildings,31/03/2025,202501,SML,N,
21018468,Oracle Managed Services,650.00,Building Services Compliance,Health and Safety Buildings,31/03/2025,202501,SML,N,
21018469,Oracle Managed Services,"1,125.00",Creeting Road Depot,Health and Safety Buildings,31/03/2025,202501,SML,Y,50%
21018479,T H Moss And Sons Ltd,"1,794.00",Trades Team,"Property Repairs, Maintenance & Alterations",02/04/2025,202501,SML,N,
21018480,Matrix SCM Ltd,"47,368.42",Town Centres,Consultancy Services,31/03/2025,202501,SML,N,
21018485,Suffolk Doors & Windows Ltd,"1,650.00",Trades Team,"Property Repairs, Maintenance & Alterations",02/04/2025,202501,SML,N,
21018490,Sequence (UK) Ltd (Shared Ownership),"1,500.00",New Build Programme,External Consultants,02/04/2025,202501,LRG,N,
